Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
pvdS (AL347_32895);toxR;+;toxR
pvdS (AL347_32895);cat;+;cat
pvdS (AL347_32895);grx;+;grx
pvdS (AL347_32895);imm2;?;imm2
pvdS (AL347_32895);opmQ;+;opmQ
pvdS (AL347_32895);PA2393;+;PA2393
pvdS (AL347_32895);PA3794;?;PA3794
pvdS (AL347_32895);PA5190;?;PA5190
pvdS (AL347_32895);piv;+;prpL
pvdS (AL347_32895);pvdE;+;pvdE
pvdS (AL347_32895);pvdF;+;pvdF
pvdS (AL347_32895);pvdG;+;pvdG
pvdS (AL347_32895);pvdN;+;pvdN
pvdS (AL347_32895);pvdL;+;pvdL
pyeR (AL347_10615);pyeR;+;pyeR
pyeR (AL347_10615);pyeM;+;pyeM
pyeR (AL347_10615);xenB;+;xenB
qscR (AL347_03130);rsaL;-;rsaL
qscR (AL347_03130);PA1300;?;PA1300 (hxuI)
qscR (AL347_03130);PA1897;+;PA1897
qscR (AL347_03130);phzA2;?;phzA2
qscR (AL347_03130);rubA1;?;rubA1
qscR (AL347_03130);lasI;?;lasI
qscR (AL347_03130);phzF2;?;phzF2
qscR (AL347_03130);phzB1;?;phzB1
qscR (AL347_03130);phzB2;?;phzB2
qscR (AL347_03130);hcnA;?;hcnA
qscR (AL347_03130);hcnC;?;hcnC
qscR (AL347_03130);hcnB;?;hcnB
qscR (AL347_03130);phzD1;?;phzD1
qscR (AL347_03130);rhlI;?;rhlI
qscR (AL347_03130);phzA1;?;phzA1
qscR (AL347_03130);lasB;?;lasB
qscR (AL347_03130);PA1896;?;PA1896
qscR (AL347_03130);PA1895;?;PA1895
qscR (AL347_03130);PA1894;?;PA1894
qscR (AL347_03130);PA1893;?;PA1893
qscR (AL347_03130);PA1892;?;PA1892
qscR (AL347_03130);PA1891;?;PA1891
qscR (AL347_03130);phzG2;?;phzG2
qscR (AL347_03130);phzG1;?;phzG1
qscR (AL347_03130);phzC1;?;phzC1
qscR (AL347_03130);phzE1;?;phzE1
rbsR (AL347_02870);rbsB;-;rbsB
rbsR (AL347_02870);rbsA;-;rbsA
rbsR (AL347_02870);rbsC;-;rbsC
rbsR (AL347_02870);rbsR;-;rbsR
rbsR (AL347_02870);rbsK;-;rbsK
recA (AL347_24695);recA;?;recA
rhlR (AL347_25325);migA;+;migA
rhlR (AL347_25325);hcnA;+;hcnA
rhlR (AL347_25325);hcnB;+;hcnB
rhlR (AL347_25325);hcnC;+;hcnC
rhlR (AL347_25325);phzC1;+;phzC1
rhlR (AL347_25325);phzD1;+;phzD1
rhlR (AL347_25325);rpoS;-;rpoS
rhlR (AL347_25325);exoS;-;exoS
rhlR (AL347_25325);pqsA;-;pqsA
rhlR (AL347_25325);pqsB;-;pqsB
rhlR (AL347_25325);pqsC;-;pqsC
rhlR (AL347_25325);pqsD;-;pqsD
rhlR (AL347_25325);pqsE;-;pqsE
rhlR (AL347_25325);phzE1;+;phzE1
rhlR (AL347_25325);rmlB;+;rmlB
rhlR (AL347_25325);rmlD;+;rmlD
rhlR (AL347_25325);rmlA;+;rmlA
rhlR (AL347_25325);rmlC;+;rmlC
rhlR (AL347_25325);mvfR;-;mvfR
rhlR (AL347_25325);PA0165;?;PA0165
rhlR (AL347_25325);PA0883;?;PA0883
rhlR (AL347_25325);PA1473;?;PA1473
rhlR (AL347_25325);pchF;?;pchF
rhlR (AL347_25325);desB;?;desB
rhlR (AL347_25325);lecA;+;lecA
rhlR (AL347_25325);lecB;+;lecB
rhlR (AL347_25325);rhlI;+;rhlI
rhlR (AL347_25325);rhlA;+;rhlA
rhlR (AL347_25325);lasB;+;lasB
rhlR (AL347_25325);acp1;+;acp1
rhlR (AL347_25325);phzG2;+;phzG2
rhlR (AL347_25325);phzA1;+;phzA1
rhlR (AL347_25325);phzB1;+;phzB1
rhlR (AL347_25325);rhlB;+;rhlB
rhlR (AL347_25325);rhlC;+;rhlC
rhlR (AL347_25325);acpP;+;acpP
rhlR (AL347_25325);PA1869;+;PA1869
rhlR (AL347_25325);phzF1;+;phzF1
rhlR (AL347_25325);phzG1;+;phzG1
rhlR (AL347_25325);rhlG;?;rhlG
rhlR (AL347_25325);rhlR;-;rhlR
rhlR (AL347_25325);xcpW;?;xcpW
rhlR (AL347_25325);xcpV;?;xcpV
rhlR (AL347_25325);xcpU;?;xcpU
rhlR (AL347_25325);xcpT;?;xcpT
rhlR (AL347_25325);xcpS;?;xcpS
rhlR (AL347_25325);xcpR;?;xcpR
rhlR (AL347_25325);xcpQ;?;xcpQ
rhlR (AL347_25325);phzF2;?;phzF2
rhlR (AL347_25325);xcpZ;?;xcpZ
rhlR (AL347_25325);xcpX;?;xcpX
rhlR (AL347_25325);chiC;?;chiC
rhlR (AL347_25325);PA0179;?;PA0179
rhlR (AL347_25325);lasA;?;lasA
rhlR (AL347_25325);lasI;?;lasI
rhlR (AL347_25325);xcpP;?;xcpP
rocA1 (AL347_22975);cupB1;+;cupB1
rocA1 (AL347_22975);cupC2;-;cupC2
rocA1 (AL347_22975);cupC3;-;cupC3
rocA1 (AL347_22975);cupB6;+;cupB6
rocA1 (AL347_22975);cupB5;+;cupB5
rocA1 (AL347_22975);cupB4;+;cupB4
rocA1 (AL347_22975);cupB3;+;cupB3
rocA1 (AL347_22975);cupB2;+;cupB2
rocA1 (AL347_22975);cupC1;-;cupC1
rocA1 (AL347_22975);rocR;?;rocR
rocA1 (AL347_22975);rocS1;?;rocS1
rocA1 (AL347_22975);rocA1;?;rocA1
roxR (AL347_11330);cyoA;+;cyoA
roxR (AL347_11330);cyoB;+;cyoB
roxR (AL347_11330);cyoC;+;cyoC
roxR (AL347_11330);cyoD;+;cyoD
roxR (AL347_11330);cyoE;+;cyoE
roxR (AL347_11330);ccoP1;+;ccoP1
roxR (AL347_11330);ccoQ1;+;ccoQ1
roxR (AL347_11330);ccoO1;+;ccoO1
roxR (AL347_11330);ccoN1;+;ccoN1
roxR (AL347_11330);ccoP2;+;ccoP2
roxR (AL347_11330);ccoQ2;+;ccoQ2
roxR (AL347_11330);ccoO2;+;ccoO2
roxR (AL347_11330);ccoN2;+;ccoN2
roxR (AL347_11330);cioB;+;cioB
roxR (AL347_11330);cioA;+;cioA
roxR (AL347_11330);coxB;-;coxB
roxR (AL347_11330);coxA;-;coxA
roxR (AL347_11330);PA0107;-;PA0107
roxR (AL347_11330);coIII;-;coIII
roxR (AL347_11330);roxR;+;roxR
roxS (AL347_11335);cyoA;+;cyoA
roxS (AL347_11335);cyoB;+;cyoB
roxS (AL347_11335);cyoC;+;cyoC
roxS (AL347_11335);cyoD;+;cyoD
roxS (AL347_11335);cyoE;+;cyoE
roxS (AL347_11335);ccoP1;+;ccoP1
roxS (AL347_11335);ccoQ1;+;ccoQ1
roxS (AL347_11335);ccoO1;+;ccoO1
roxS (AL347_11335);ccoN1;+;ccoN1
roxS (AL347_11335);ccoP2;+;ccoP2
roxS (AL347_11335);ccoQ2;+;ccoQ2
roxS (AL347_11335);ccoO2;+;ccoO2
roxS (AL347_11335);ccoN2;+;ccoN2
roxS (AL347_11335);cioB;+;cioB
roxS (AL347_11335);cioA;+;cioA
roxS (AL347_11335);coxB;-;coxB
roxS (AL347_11335);coxA;-;coxA
roxS (AL347_11335);PA0107;-;PA0107
roxS (AL347_11335);coIII;-;coIII
rpoD (AL347_20760);tonB1;+;tonB1
rpoD (AL347_20760);PA5525;+;PA5525
rpoD (AL347_20760);PA5524;+;PA5524
rpoD (AL347_20760);PA5523;+;PA5523
rpoD (AL347_20760);PA5522;+;PA5522 (pauA6)
rpoD (AL347_20760);PA5477;+;PA5477
rpoD (AL347_20760);PA5473;+;PA5473
rpoD (AL347_20760);PA5429;+;PA5429 (aspA)
rpoD (AL347_20760);PA5428;+;PA5428
rpoD (AL347_20760);PA5421;+;PA5421 (fdhA)
rpoD (AL347_20760);PA5383;+;PA5383
rpoD (AL347_20760);PA5382;+;PA5382
rpoD (AL347_20760);BetB;+;BetB
rpoD (AL347_20760);PA5331;+;PA5331 (pyrE)
rpoD (AL347_20760);PA5314;+;PA5314
rpoD (AL347_20760);PA5313;+;PA5313 (gabT2, paaT)
rpoD (AL347_20760);PA5312;+;PA5312 (pauC, kauB)
rpoD (AL347_20760);PA5307;+;PA5307
rpoD (AL347_20760);dadA;+;dadA
rpoD (AL347_20760);PA5303;+;PA5303
rpoD (AL347_20760);PA5301;+;PA5301 (pauR, ycjC)
rpoD (AL347_20760);PA5290;+;PA5290
rpoD (AL347_20760);PA5289;+;PA5289
rpoD (AL347_20760);PA5281;+;PA5281
rpoD (AL347_20760);PA5280;+;PA5280 (xerC)
rpoD (AL347_20760);PA5279;+;PA5279
rpoD (AL347_20760);PA5278;+;PA5278 (dapF)
rpoD (AL347_20760);PA5277;+;PA5277 (lysA)
rpoD (AL347_20760);PA5276;+;PA5276 (lppL)
rpoD (AL347_20760);PA5275;+;PA5275
rpoD (AL347_20760);algQ;+;algQ
rpoD (AL347_20760);PA5254;+;PA5254
rpoD (AL347_20760);PA5244;+;PA5244
rpoD (AL347_20760);PA5243;+;PA5243 (hemB)
rpoD (AL347_20760);ppK;+;ppK
rpoD (AL347_20760);PA5241;+;PA5241 (ppx, gppA)
rpoD (AL347_20760);PA5240;+;PA5240 (trxA)
rpoD (AL347_20760);PA5238;+;PA5238
rpoD (AL347_20760);PA5237;+;PA5237
rpoD (AL347_20760);PA5236;+;PA5236
rpoD (AL347_20760);PA5228;+;PA5228
rpoD (AL347_20760);PA5227;+;PA5227
rpoD (AL347_20760);PA5226;+;PA5226
rpoD (AL347_20760);PA5225;+;PA5225
rpoD (AL347_20760);PA5224;+;PA5224 (pepP)
rpoD (AL347_20760);PA5223;+;PA5223 (ubiH, visB)
rpoD (AL347_20760);PA5222;+;PA5222
rpoD (AL347_20760);PA5221;+;PA5221
rpoD (AL347_20760);PA5220;+;PA5220
rpoD (AL347_20760);PA5219;+;PA5219
rpoD (AL347_20760);PA5205;+;PA5205
rpoD (AL347_20760);PA5195;+;PA5195
rpoD (AL347_20760);PA5190;+;PA5190
rpoD (AL347_20760);rmlC;+;rmlC
rpoD (AL347_20760);rmlA;+;rmlA
rpoD (AL347_20760);rmlD;+;rmlD
rpoD (AL347_20760);rmlB;+;rmlB
rpoD (AL347_20760);PA5130;+;PA5130
rpoD (AL347_20760);grx;+;grx
rpoD (AL347_20760);PA5128;+;PA5128 (secB)
rpoD (AL347_20760);PA5115;+;PA5115
rpoD (AL347_20760);PA5080;+;PA5080
rpoD (AL347_20760);PA5079;+;PA5079
rpoD (AL347_20760);PA5071;+;PA5071
rpoD (AL347_20760);PA5070;+;PA5070 (tatC, mttB, yigU)
rpoD (AL347_20760);PA5069;+;PA5069 (tatB, mttA, yigT)
rpoD (AL347_20760);PA5062;+;PA5062
rpoD (AL347_20760);PA5029;+;PA5029
rpoD (AL347_20760);PA5023;+;PA5023
rpoD (AL347_20760);PA5022;+;PA5022
rpoD (AL347_20760);PA5021;+;PA5021
rpoD (AL347_20760);PA5019;+;PA5019
rpoD (AL347_20760);aceE;+;aceE
rpoD (AL347_20760);PA5014;+;PA5014 (glnE)
rpoD (AL347_20760);PA5000;+;PA5000 (wapR)
rpoD (AL347_20760);PA4985;+;PA4985
rpoD (AL347_20760);PA4963;+;PA4963
rpoD (AL347_20760);PA4959;+;PA4959
rpoD (AL347_20760);PA4958;+;PA4958 (fimW)
rpoD (AL347_20760);PA4957;+;PA4957 (psd)
rpoD (AL347_20760);PA4956;+;PA4956 (rhdA)
rpoD (AL347_20760);PA4952;+;PA4952
rpoD (AL347_20760);PA4949;+;PA4949
rpoD (AL347_20760);PA4948;+;PA4948
rpoD (AL347_20760);PA4947;+;PA4947 (amiB)
rpoD (AL347_20760);PA4946;+;PA4946 (mutL)
rpoD (AL347_20760);PA4945;+;PA4945 (miaA)
rpoD (AL347_20760);hfq;+;hfq
rpoD (AL347_20760);PA4943;+;PA4943
rpoD (AL347_20760);PA4928;+;PA4928
rpoD (AL347_20760);PA4913;+;PA4913
rpoD (AL347_20760);PA4903;+;PA4903
rpoD (AL347_20760);PA4902;+;PA4902
rpoD (AL347_20760);PA4900;+;PA4900
rpoD (AL347_20760);PA4899;+;PA4899
rpoD (AL347_20760);PA4838;+;PA4838
rpoD (AL347_20760);PA4837;+;PA4837 (cntO, zrmA)
rpoD (AL347_20760);PA4836;+;PA4836 (cntL, zrmB)
rpoD (AL347_20760);PA4835;+;PA4835 (cntM, zrmC)
rpoD (AL347_20760);PA4834;+;PA4834 (cntI, zrmD)
rpoD (AL347_20760);PA4833;+;PA4833
rpoD (AL347_20760);PA4832;+;PA4832
rpoD (AL347_20760);PA4828;+;PA4828
rpoD (AL347_20760);PA4824;+;PA4824
rpoD (AL347_20760);PA4823;+;PA4823
rpoD (AL347_20760);PA4822;+;PA4822
rpoD (AL347_20760);PA4821;+;PA4821
rpoD (AL347_20760);PA4806;+;PA4806
rpoD (AL347_20760);PA4765;+;PA4765 (omlA, oprX)
rpoD (AL347_20760);fur;+;fur
rpoD (AL347_20760);carA;+;carA
rpoD (AL347_20760);PA4757;+;PA4757
rpoD (AL347_20760);carB;+;carB
rpoD (AL347_20760);PA4747;+;PA4747 (secG)
rpoD (AL347_20760);PA4741;+;PA4741 (rpsO)
rpoD (AL347_20760);PA4734;+;PA4734
rpoD (AL347_20760);PA4714;+;PA4714
rpoD (AL347_20760);PA4697;+;PA4697
rpoD (AL347_20760);PA4696;+;PA4696 (ilvI)
rpoD (AL347_20760);PA4695;+;PA4695 (ilvH)
rpoD (AL347_20760);PA4694;+;PA4694 (ilvC)
rpoD (AL347_20760);PA4693;+;PA4693 (pssA)
rpoD (AL347_20760);chtA;+;chtA
rpoD (AL347_20760);PA4669;+;PA4669 (ipk, ychB)
rpoD (AL347_20760);PA4668;+;PA4668 (lolB)
rpoD (AL347_20760);PA4667;+;PA4667 (lbcA)
rpoD (AL347_20760);hemA;+;hemA
rpoD (AL347_20760);prfA;+;prfA
rpoD (AL347_20760);hemK;+;hemK
rpoD (AL347_20760);moeB;+;moeB
rpoD (AL347_20760);murI;+;murI
rpoD (AL347_20760);PA4632;+;PA4632
rpoD (AL347_20760);PA4594;+;PA4594
rpoD (AL347_20760);PA4593;+;PA4593
rpoD (AL347_20760);PA4592;+;PA4592
rpoD (AL347_20760);PA4591;+;PA4591
rpoD (AL347_20760);PA4590;+;PA4590 (pra)
rpoD (AL347_20760);PA4581;+;PA4581 (rtcR)
rpoD (AL347_20760);PA4569;+;PA4569 (ispB, cel)
rpoD (AL347_20760);PA4567;+;PA4567 (rpmA)
rpoD (AL347_20760);PA4566;+;PA4566 (obg)
rpoD (AL347_20760);PA4565;+;PA4565 (proB)
rpoD (AL347_20760);PA4564;+;PA4564
rpoD (AL347_20760);PA4545;+;PA4545 (comL, ypiY)
rpoD (AL347_20760);PA4540;+;PA4540
rpoD (AL347_20760);PA4524;+;PA4524 (nadC)
rpoD (AL347_20760);PA4523;+;PA4523
rpoD (AL347_20760);PA4512;+;PA4512 (lpxO1)
rpoD (AL347_20760);dppA3;+;dppA3
rpoD (AL347_20760);psdR;+;psdR
rpoD (AL347_20760);mdpA;+;mdpA
rpoD (AL347_20760);PA4473;+;PA4473
rpoD (AL347_20760);PA4466;+;PA4466
rpoD (AL347_20760);PA4465;+;PA4465
rpoD (AL347_20760);PA4464;+;PA4464 (ptsN)
rpoD (AL347_20760);PA4463;+;PA4463
rpoD (AL347_20760);PA4459;+;PA4459 (lptC, yrbK)
rpoD (AL347_20760);PA4458;+;PA4458
rpoD (AL347_20760);PA4457;+;PA4457
rpoD (AL347_20760);PA4437;+;PA4437
rpoD (AL347_20760);PA4434;+;PA4434
rpoD (AL347_20760);PA4407;+;PA4407 (ftsZ)
rpoD (AL347_20760);PA4402;+;PA4402 (argJ)
rpoD (AL347_20760);PA4388;+;PA4388
rpoD (AL347_20760);PA4375;+;PA4375 (mexW)
rpoD (AL347_20760);PA4374;+;PA4374 (mexV)
rpoD (AL347_20760);PA4369;+;PA4369
rpoD (AL347_20760);PA4368;+;PA4368
rpoD (AL347_20760);bifA;+;bifA
rpoD (AL347_20760);PA4351;+;PA4351 (olsA)
rpoD (AL347_20760);PA4350;+;PA4350 (olsB)
rpoD (AL347_20760);PA4323;+;PA4323
rpoD (AL347_20760);PA4322;+;PA4322
rpoD (AL347_20760);PA4321;+;PA4321
rpoD (AL347_20760);PA4320;+;PA4320
rpoD (AL347_20760);PA4319;+;PA4319
rpoD (AL347_20760);PA4318;+;PA4318
rpoD (AL347_20760);PA4317;+;PA4317
rpoD (AL347_20760);mvaT;+;mvaT
rpoD (AL347_20760);PA4314;+;PA4314 (purU1)
rpoD (AL347_20760);PA4291;+;PA4291
rpoD (AL347_20760);pchA;+;pchA
rpoD (AL347_20760);pchB;+;pchB
rpoD (AL347_20760);pchC;+;pchC
rpoD (AL347_20760);pchD;+;pchD
rpoD (AL347_20760);ppgL;+;ppgL
rpoD (AL347_20760);PA4203;+;PA4203 (nmoR)
rpoD (AL347_20760);nmoA;+;nmoA
rpoD (AL347_20760);PA4201;+;PA4201 (ddlA)
rpoD (AL347_20760);bfiS;+;bfiS
rpoD (AL347_20760);bfiR;+;bfiR
rpoD (AL347_20760);PA4185;+;PA4185
rpoD (AL347_20760);prpL;+;prpL
rpoD (AL347_20760);PA4167;+;PA4167
rpoD (AL347_20760);PA4161;+;PA4161 (fepG)
rpoD (AL347_20760);PA4160;+;PA4160 (fepD)
rpoD (AL347_20760);PA4159;+;PA4159 (fepB)
rpoD (AL347_20760);PA4158;+;PA4158 (fepC)
rpoD (AL347_20760);PA4137;+;PA4137
rpoD (AL347_20760);PA4135;+;PA4135
rpoD (AL347_20760);PA4123;+;PA4123 (hpcC, hpaE)
rpoD (AL347_20760);PA4122;+;PA4122
rpoD (AL347_20760);PA4121;+;PA4121
rpoD (AL347_20760);PA4115;+;PA4115
rpoD (AL347_20760);PA4114;+;PA4114
rpoD (AL347_20760);PA4113;+;PA4113
rpoD (AL347_20760);PA4089;+;PA4089
rpoD (AL347_20760);PA4088;+;PA4088
rpoD (AL347_20760);PA4087;+;PA4087
rpoD (AL347_20760);cupB3;+;cupB3
rpoD (AL347_20760);cupB4;+;cupB4
rpoD (AL347_20760);PA4077;+;PA4077
rpoD (AL347_20760);PA4076;+;PA4076
rpoD (AL347_20760);PA4040;+;PA4040
rpoD (AL347_20760);PA4039;+;PA4039
rpoD (AL347_20760);PA4038;+;PA4038
rpoD (AL347_20760);PA4037;+;PA4037
rpoD (AL347_20760);PA4021;+;PA4021 (eatR)
rpoD (AL347_20760);PA4011;+;PA4011
rpoD (AL347_20760);PA4010;+;PA4010
rpoD (AL347_20760);PA4009;+;PA4009
rpoD (AL347_20760);PA3995;+;PA3995
rpoD (AL347_20760);PA3973;+;PA3973
rpoD (AL347_20760);PA3972;+;PA3972
rpoD (AL347_20760);PA3971;+;PA3971
rpoD (AL347_20760);PA3970;+;PA3970 (amn)
rpoD (AL347_20760);PA3966;+;PA3966
rpoD (AL347_20760);PA3965;+;PA3965
rpoD (AL347_20760);PA3939;+;PA3939
rpoD (AL347_20760);PA3933;+;PA3933 (betT3)
rpoD (AL347_20760);PA3920;+;PA3920 (copA1, yvgX, cueA)
rpoD (AL347_20760);PA3919;+;PA3919
rpoD (AL347_20760);PA3892;+;PA3892
rpoD (AL347_20760);PA3887;+;PA3887 (nhaP)
rpoD (AL347_20760);PA3880;+;PA3880
rpoD (AL347_20760);PA3842;+;PA3842 (spcS, orf1)
rpoD (AL347_20760);PA3827;+;PA3827 (lptG, yjgQ)
rpoD (AL347_20760);PA3826;+;PA3826
rpoD (AL347_20760);PA3821;+;PA3821 (secD)
rpoD (AL347_20760);PA3820;+;PA3820 (secF)
rpoD (AL347_20760);iscR;+;iscR
rpoD (AL347_20760);iscS;+;iscS
rpoD (AL347_20760);iscU;+;iscU
rpoD (AL347_20760);iscA;+;iscA
rpoD (AL347_20760);hscB;+;hscB
rpoD (AL347_20760);hscA;+;hscA
rpoD (AL347_20760);PA3771;+;PA3771
rpoD (AL347_20760);PA3748;+;PA3748
rpoD (AL347_20760);PA3747;+;PA3747
rpoD (AL347_20760);PA3746;+;PA3746 (ffh)
rpoD (AL347_20760);PA3730;+;PA3730
rpoD (AL347_20760);PA3729;+;PA3729
rpoD (AL347_20760);lasB;+;lasB
rpoD (AL347_20760);PA3717;+;PA3717
rpoD (AL347_20760);PA3711;+;PA3711
rpoD (AL347_20760);PA3687;+;PA3687 (ppc)
rpoD (AL347_20760);PA3678;+;PA3678 (mexL)
rpoD (AL347_20760);PA3677;+;PA3677 (mexJ)
rpoD (AL347_20760);mexK;+;mexK
rpoD (AL347_20760);PA3662;+;PA3662
rpoD (AL347_20760);PA3632;+;PA3632
rpoD (AL347_20760);PA3631;+;PA3631
rpoD (AL347_20760);PA3621;+;PA3621 (fdxA)
rpoD (AL347_20760);PA3610;+;PA3610 (potD)
rpoD (AL347_20760);PA3609;+;PA3609 (potC)
rpoD (AL347_20760);PA3608;+;PA3608 (potB)
rpoD (AL347_20760);PA3607;+;PA3607 (potA)
rpoD (AL347_20760);PA3605;+;PA3605
rpoD (AL347_20760);PA3602;+;PA3602
rpoD (AL347_20760);PA3573;+;PA3573
rpoD (AL347_20760);PA3559;+;PA3559
rpoD (AL347_20760);arnF;+;arnF
rpoD (AL347_20760);arnE;+;arnE
rpoD (AL347_20760);arnT;+;arnT
rpoD (AL347_20760);arnD;+;arnD
rpoD (AL347_20760);arnA;+;arnA
rpoD (AL347_20760);arnC;+;arnC
rpoD (AL347_20760);arnB;+;arnB
rpoD (AL347_20760);PA3535;+;PA3535
rpoD (AL347_20760);bfd;+;bfd
rpoD (AL347_20760);PA3529;+;PA3529
rpoD (AL347_20760);PA3524;+;PA3524 (gloA1)
rpoD (AL347_20760);PA3519;+;PA3519
rpoD (AL347_20760);PA3518;+;PA3518
rpoD (AL347_20760);PA3517;+;PA3517
rpoD (AL347_20760);PA3516;+;PA3516
rpoD (AL347_20760);PA3515;+;PA3515
rpoD (AL347_20760);PA3481;+;PA3481
rpoD (AL347_20760);rhlI;+;rhlI
rpoD (AL347_20760);PA3475;+;PA3475 (pheC)
rpoD (AL347_20760);PA3456;+;PA3456
rpoD (AL347_20760);PA3455;+;PA3455
rpoD (AL347_20760);PA3432;+;PA3432
rpoD (AL347_20760);PA3431;+;PA3431
rpoD (AL347_20760);PA3428;+;PA3428
rpoD (AL347_20760);PA3390;+;PA3390
rpoD (AL347_20760);amrZ;+;amrZ
rpoD (AL347_20760);PA3358;+;PA3358
rpoD (AL347_20760);PA3357;+;PA3357 (dsdA)
rpoD (AL347_20760);PA3356;+;PA3356 (pauA5)
rpoD (AL347_20760);PA3341;+;PA3341
rpoD (AL347_20760);PA3308;+;PA3308 (hepA)
rpoD (AL347_20760);PA3302;+;PA3302
rpoD (AL347_20760);PA3301;+;PA3301
rpoD (AL347_20760);PA3300;+;PA3300 (fadD2)
rpoD (AL347_20760);PA3299;+;PA3299 (fadD1)
rpoD (AL347_20760);PA3288;+;PA3288
rpoD (AL347_20760);PA3276;+;PA3276
rpoD (AL347_20760);PA3275;+;PA3275
rpoD (AL347_20760);PA3266;+;PA3266 (capB, cspA)
rpoD (AL347_20760);PA3263;+;PA3263
rpoD (AL347_20760);PA3230;+;PA3230
rpoD (AL347_20760);trkH;+;trkH
rpoD (AL347_20760);PA3190;+;PA3190
rpoD (AL347_20760);PA3189;+;PA3189
rpoD (AL347_20760);PA3188;+;PA3188
rpoD (AL347_20760);PA3187;+;PA3187
rpoD (AL347_20760);oprB;+;oprB
rpoD (AL347_20760);hexR;+;hexR
rpoD (AL347_20760);gyrA;+;gyrA
rpoD (AL347_20760);wbpI;+;wbpI
rpoD (AL347_20760);PA3138;+;PA3138 (uvrB)
rpoD (AL347_20760);PA3134;+;PA3134 (gltX)
rpoD (AL347_20760);PA3133;+;PA3133 (sawR)
rpoD (AL347_20760);PA3132;+;PA3132
rpoD (AL347_20760);PA3121;+;PA3121 (leuC)
rpoD (AL347_20760);PA3120;+;PA3120 (leuD)
rpoD (AL347_20760);xcpQ;+;xcpQ
rpoD (AL347_20760);xcpP;+;xcpP
rpoD (AL347_20760);xcpR;+;xcpR
rpoD (AL347_20760);xcpS;+;xcpS
rpoD (AL347_20760);xcpT;+;xcpT
rpoD (AL347_20760);xcpU;+;xcpU
rpoD (AL347_20760);xcpV;+;xcpV
rpoD (AL347_20760);xcpW;+;xcpW
rpoD (AL347_20760);PA3097;+;PA3097
rpoD (AL347_20760);PA3096;+;PA3096 (xcpY)
rpoD (AL347_20760);xcpZ;+;xcpZ
rpoD (AL347_20760);pelA;+;pelA
rpoD (AL347_20760);pelB;+;pelB
rpoD (AL347_20760);pelC;+;pelC
rpoD (AL347_20760);pelD;+;pelD
rpoD (AL347_20760);pelE;+;pelE
rpoD (AL347_20760);pelF;+;pelF
rpoD (AL347_20760);pelG;+;pelG
rpoD (AL347_20760);PA3057;+;PA3057
rpoD (AL347_20760);PA3052;+;PA3052
rpoD (AL347_20760);PA3049;+;PA3049 (rmf)
rpoD (AL347_20760);PA3037;+;PA3037
rpoD (AL347_20760);PA3036;+;PA3036
rpoD (AL347_20760);PA3035;+;PA3035
rpoD (AL347_20760);PA3015;+;PA3015
rpoD (AL347_20760);faoA;+;faoA
rpoD (AL347_20760);PA3003;+;PA3003
rpoD (AL347_20760);PA3002;+;PA3002 (mfd)
rpoD (AL347_20760);PA2975;+;PA2975 (rluC, yceC)
rpoD (AL347_20760);PA2974;+;PA2974
rpoD (AL347_20760);PA2973;+;PA2973
rpoD (AL347_20760);PA2972;+;PA2972
rpoD (AL347_20760);PA2960;+;PA2960 (pilZ)
rpoD (AL347_20760);PA2953;+;PA2953
rpoD (AL347_20760);etfB;+;etfB
rpoD (AL347_20760);etfA;+;etfA
rpoD (AL347_20760);PA2940;+;PA2940
rpoD (AL347_20760);PA2929;+;PA2929
rpoD (AL347_20760);PA2909;+;PA2909
rpoD (AL347_20760);PA2908;+;PA2908 (cbiD)
rpoD (AL347_20760);PA2907;+;PA2907 (cobL, cbiE, cbiT)
rpoD (AL347_20760);PA2894;+;PA2894
rpoD (AL347_20760);PA2877;+;PA2877
rpoD (AL347_20760);PA2876;+;PA2876 (pyrF)
rpoD (AL347_20760);PA2871;+;PA2871
rpoD (AL347_20760);PA2860;+;PA2860
rpoD (AL347_20760);PA2842;+;PA2842
rpoD (AL347_20760);PA2820;+;PA2820
rpoD (AL347_20760);PA2799;+;PA2799
rpoD (AL347_20760);PA2798;+;PA2798
rpoD (AL347_20760);PA2797;+;PA2797
rpoD (AL347_20760);PA2776;+;PA2776 (pauB3, ordL)
rpoD (AL347_20760);PA2775;+;PA2775 (tsi4)
rpoD (AL347_20760);PA2774;+;PA2774 (tse4)
rpoD (AL347_20760);PA2765;+;PA2765
rpoD (AL347_20760);PA2763;+;PA2763
rpoD (AL347_20760);PA2759;+;PA2759
rpoD (AL347_20760);PA2748;+;PA2748
rpoD (AL347_20760);PA2743;+;PA2743 (infC)
rpoD (AL347_20760);PA2742;+;PA2742 (rpmI)
rpoD (AL347_20760);PA2741;+;PA2741 (rplT)
rpoD (AL347_20760);himA;+;himA
rpoD (AL347_20760);PA2723;+;PA2723
rpoD (AL347_20760);PA2712;+;PA2712
rpoD (AL347_20760);PA2678;+;PA2678
rpoD (AL347_20760);PA2677;+;PA2677
rpoD (AL347_20760);PA2676;+;PA2676
rpoD (AL347_20760);PA2675;+;PA2675
rpoD (AL347_20760);PA2674;+;PA2674
rpoD (AL347_20760);PA2673;+;PA2673
rpoD (AL347_20760);PA2672;+;PA2672
rpoD (AL347_20760);PA2671;+;PA2671
rpoD (AL347_20760);fhpR;+;fhpR
